"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","threshold"
"C8orf46",4.29283822703547e-08,1.06154693517056,0.082,0.049,0.00210276094874878,"up"
"MRFAP1",4.41828819244147e-08,-1.01492816794122,0.034,0.065,0.0021642101053036,"down"
"SNHG29",4.4302465060765e-08,-7.96551812982921,0,0.011,0.00217006764607145,"down"
"NECTIN3",4.4302465893395e-08,-8.03377341195769,0,0.011,0.00217006768685617,"down"
"AC002069.2",4.4302465893395e-08,-8.56610998462011,0,0.011,0.00217006768685617,"down"
"ELP1",4.4302465893395e-08,-8.13107051302903,0,0.011,0.00217006768685617,"down"
"FGF11",4.4302465893395e-08,-8.02239537930144,0,0.011,0.00217006768685617,"down"
"U2AF1L4",4.4302466726025e-08,-8.08437022685924,0,0.011,0.00217006772764088,"down"
"RO60",4.4302466726025e-08,-8.14097547160032,0,0.011,0.00217006772764088,"down"
"AL136366.1",4.4302466726025e-08,-8.01791883887778,0,0.011,0.00217006772764088,"down"
"MINDY3",4.4302466726025e-08,-7.80010162190821,0,0.011,0.00217006772764088,"down"
"LINC02328",4.4302466726025e-08,-8.17336727958509,0,0.011,0.00217006772764088,"down"
"AC040168.1",4.4302466726025e-08,-8.19920166138779,0,0.011,0.00217006772764088,"down"
"CRYZL1",4.4302466726025e-08,-7.8989757227008,0,0.011,0.00217006772764088,"down"
"MT-ND4L",4.49745108497271e-08,0.861137639490168,0.13,0.09,0.00220298646495218,"ns"
"BEX5",4.54420711599462e-08,-1.02924406504431,0.033,0.063,0.00222588897162764,"down"
"NME2",4.58720015638013e-08,-4.90496864094395,0.001,0.013,0.00224694825259968,"down"
"C19orf70",4.60955246078893e-08,-0.762249891470162,0.035,0.068,0.00225789708186824,"ns"
"NDUFS5",4.6704353254756e-08,-0.62681125624348,0.11,0.16,0.00228771933547771,"ns"
"ZNF654",4.70585107038336e-08,-1.51501578336236,0.016,0.04,0.00230506702980588,"down"
"GABPB1-AS1",4.80521873800905e-08,-0.398566337109367,0.138,0.195,0.00235374029443897,"ns"
"CLNK",4.82281014550289e-08,-1.15859969362032,0.014,0.037,0.00236235709357168,"down"
"RP11-638I2.8",4.87597133569049e-08,-1.57494605058636,0.008,0.028,0.00238839703936127,"down"
"TRAPPC5",4.90716738811501e-08,-2.99107150063058,0.003,0.018,0.00240367780172038,"down"
"MRPS25",4.91196252337911e-08,-0.499895583292522,0.06,0.1,0.00240602660282679,"ns"
