"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","threshold"
"SLC66A2",1.007087176226e-07,-7.96795355866922,0,0.013,0.00493301511530781,"down"
"ME2",1.01064677154583e-07,0.406141222399493,0.138,0.093,0.00495045108106294,"ns"
"RP11-15B17.1",1.04012488464012e-07,1.26159610056068,0.044,0.02,0.00509484372243269,"up"
"GPAM",1.04574731870379e-07,0.33050600272252,0.225,0.169,0.00512238409120675,"ns"
"SRP54-AS1",1.10126839784288e-07,0.885842747883446,0.072,0.04,0.0053943429931538,"ns"
"P4HA1",1.10522675147815e-07,0.328608935152629,0.274,0.212,0.00541373219676544,"ns"
"INADL",1.11209399157102e-07,0.361463522430915,0.262,0.204,0.00544736999891234,"ns"
"WDFY3",1.12660762390968e-07,0.234613322117876,0.451,0.376,0.00551846212419676,"ns"
"REPS1",1.1281539218243e-07,0.206750041727335,0.44,0.366,0.00552603635527196,"ns"
"KIF21A",1.14711156414142e-07,0.163594119556666,0.371,0.297,0.00561889657463393,"ns"
"LRRC6",1.21553725265696e-07,0.827538020705687,0.091,0.056,0.00595406612468959,"ns"
"EVA1C",1.25781293795038e-07,-0.634947127113302,0.1,0.148,0.00616114511396236,"ns"
"TRIP10",1.27919780219231e-07,-2.28325933568074,0.008,0.027,0.00626589459447859,"down"
"PTPRM",1.28691901204211e-07,0.292458537272186,0.375,0.309,0.00630371539668588,"ns"
"PPP1R12B",1.30247814932483e-07,0.281906193028846,0.31,0.246,0.00637992871883782,"ns"
"KIAA0368",1.32153616292916e-07,0.453821765914215,0.208,0.157,0.00647328058687593,"ns"
"PLEKHG1",1.33343985793931e-07,0.243974914650794,0.315,0.249,0.0065315884561441,"ns"
"TUBA1A",1.35657063578726e-07,-0.579483728032298,0.147,0.2,0.00664488994527672,"ns"
"GRM3",1.36768172878796e-07,0.183276011375099,0.718,0.62,0.00669931541212206,"ns"
"AP001528.1",1.38829725030387e-07,-7.81438834733962,0,0.012,0.00680029642116345,"down"
"NUP50-DT",1.38829725030387e-07,-8.08869808733953,0,0.012,0.00680029642116345,"down"
